epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy,val_w_categorical_accuracy,val_w_top_3_categorical_accuracy,w_categorical_accuracy,w_top_3_categorical_accuracy
0,0.7333133816719055,9.999999747378752e-05,2.084585428237915,0.8573260307312012,0.8080179691314697,1.0135114192962646,0.880018949508667,0.8080179691314697,0.880018949508667,0.5573689937591553,0.7181451916694641
1,0.8098394870758057,9.999999747378752e-05,1.1197412014007568,0.9250189065933228,0.6549308896064758,1.1211854219436646,0.8791124820709229,0.6549308896064758,0.8791124820709229,0.7281774282455444,0.87436443567276
2,0.8015077710151672,9.999999747378752e-05,0.8958547711372375,0.9417833685874939,0.7410024404525757,0.9229709506034851,0.9117240905761719,0.7410024404525757,0.9117240905761719,0.7538090348243713,0.901885449886322
3,0.8023935556411743,9.999999747378752e-05,0.7901189923286438,0.9432313442230225,0.76104736328125,0.8028486967086792,0.915823757648468,0.76104736328125,0.915823757648468,0.7682662010192871,0.9165381789207458
4,0.8047676682472229,9.999999747378752e-05,0.6952945590019226,0.9535893201828003,0.7482540607452393,0.9362558126449585,0.9146700501441956,0.7482540607452393,0.9146700501441956,0.7807223796844482,0.9318592548370361
5,0.8157080411911011,9.999999747378752e-05,0.6699171662330627,0.9590129852294922,0.7595228552818298,0.8223264217376709,0.9291732907295227,0.7595228552818298,0.9291732907295227,0.7790091037750244,0.92656010389328
6,0.8124117851257324,9.999999747378752e-05,0.6113052368164062,0.960610568523407,0.6940112709999084,1.0457402467727661,0.9306153655052185,0.6940112709999084,0.9306153655052185,0.7925999164581299,0.9384160041809082
7,0.7738029360771179,9.999999747378752e-06,0.47254177927970886,0.9736459851264954,0.8720669150352478,0.7908859252929688,0.9318720102310181,0.8720669150352478,0.9318720102310181,0.8232324123382568,0.9525055289268494
8,0.8785596489906311,9.999999747378752e-06,0.4306907653808594,0.9742729067802429,0.773469865322113,0.7557859420776367,0.9324076771736145,0.773469865322113,0.9324076771736145,0.8283411264419556,0.958458423614502
9,0.8759186267852783,9.999999747378752e-06,0.4148826003074646,0.9746935367584229,0.7737788558006287,0.7761118412017822,0.933437705039978,0.7737788558006287,0.933437705039978,0.839758574962616,0.9560858607292175
10,0.8701713681221008,9.999999747378752e-06,0.40346217155456543,0.9748229384422302,0.876825749874115,0.7851693034172058,0.9336643218994141,0.876825749874115,0.9336643218994141,0.8408414125442505,0.9531679153442383
11,0.8791542053222656,9.999999747378752e-06,0.3924448788166046,0.975348711013794,0.6049731373786926,0.8041071891784668,0.934385359287262,0.6049731373786926,0.934385359287262,0.8450462222099304,0.9566838145256042
12,0.8258193135261536,9.999999974752427e-07,0.3794694244861603,0.9768694639205933,0.7757359743118286,0.770269513130188,0.9347974061965942,0.7757359743118286,0.9347974061965942,0.8481577634811401,0.9629671573638916
13,0.8681936264038086,9.999999974752427e-07,0.37606948614120483,0.9769018292427063,0.7765394449234009,0.76771479845047,0.9346737861633301,0.7765394449234009,0.9346737861633301,0.8473620414733887,0.9635169506072998
14,0.8436111211776733,9.999999974752427e-07,0.37509259581565857,0.9769786596298218,0.8763725757598877,0.7580869197845459,0.934838593006134,0.8763725757598877,0.934838593006134,0.8447025418281555,0.9637089967727661
15,0.9219532012939453,1.0000000116860974e-07,0.37298205494880676,0.977023184299469,0.8765167593955994,0.7578867673873901,0.9347561597824097,0.8765167593955994,0.9347561597824097,0.8489722013473511,0.9636938571929932
