epoch,categorical_accuracy,learning_rate,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy,val_weighted_categorical_accuracy,weighted_categorical_accuracy
0,0.7412163615226746,9.999999747378752e-05,2.419309139251709,0.6760444641113281,0.7454110980033875,1.6672238111495972,0.8249933123588562,0.7454110980033875,0.5210310220718384
1,0.7953965663909912,9.999999747378752e-05,1.720332145690918,0.7883067727088928,0.7729754447937012,1.4018547534942627,0.844049334526062,0.7729754447937012,0.6245394945144653
2,0.8036392331123352,9.999999747378752e-05,1.3530205488204956,0.8292241096496582,0.7813807129859924,1.2177495956420898,0.8729939460754395,0.7813807129859924,0.6893848776817322
3,0.7996109127998352,9.999999747378752e-05,1.139493465423584,0.863787055015564,0.608454704284668,1.5860865116119385,0.8426690697669983,0.608454704284668,0.7198644876480103
4,0.8074410557746887,9.999999747378752e-05,1.0033221244812012,0.8895442485809326,0.6261098980903625,1.3375892639160156,0.8578521013259888,0.6261098980903625,0.7402815222740173
5,0.7859485745429993,9.999999747378752e-05,0.8957660794258118,0.8980783820152283,0.8073793053627014,1.1090158224105835,0.8656187653541565,0.8073793053627014,0.7497472763061523
6,0.819788932800293,9.999999747378752e-05,0.8125122785568237,0.9052774906158447,0.7101419568061829,1.0452423095703125,0.870006799697876,0.7101419568061829,0.7649040818214417
7,0.7830405831336975,9.999999747378752e-05,0.7624782919883728,0.9176540374755859,0.7995302677154541,1.1306469440460205,0.8640118837356567,0.7995302677154541,0.774321436882019
8,0.8129294514656067,9.999999747378752e-05,0.7148765921592712,0.9235405921936035,0.7197832465171814,1.217861533164978,0.8725613355636597,0.7197832465171814,0.7789512872695923
9,0.7992631196975708,9.999999747378752e-05,0.6735029220581055,0.9308661818504333,0.7059805393218994,1.0545305013656616,0.8758575320243835,0.7059805393218994,0.7825332880020142
10,0.803105354309082,9.999999747378752e-06,0.6006917357444763,0.9342241883277893,0.8123030066490173,0.9922831058502197,0.880183756351471,0.8123030066490173,0.7960174083709717
11,0.8225513696670532,9.999999747378752e-06,0.584299623966217,0.9381727576255798,0.8131888508796692,0.9670957326889038,0.8798953294754028,0.8131888508796692,0.8019192218780518
12,0.8237970471382141,9.999999747378752e-06,0.5773382186889648,0.9356873035430908,0.815413773059845,1.0009868144989014,0.8827589154243469,0.815413773059845,0.8012895584106445
13,0.8170265555381775,9.999999747378752e-06,0.5710124969482422,0.9361967444419861,0.8163614273071289,0.9811543226242065,0.8857872486114502,0.8163614273071289,0.799707293510437
14,0.8372491002082825,9.999999747378752e-06,0.5653611421585083,0.9381922483444214,0.7153746485710144,0.9683408737182617,0.8843451738357544,0.7153746485710144,0.8041419982910156
15,0.777932345867157,9.999999974752427e-07,0.5564360022544861,0.9421657919883728,0.7158278822898865,0.9701115489006042,0.8854782581329346,0.7158278822898865,0.8098697066307068
16,0.8140255212783813,9.999999974752427e-07,0.555324137210846,0.9406858086585999,0.7164871096611023,0.9698135256767273,0.8855606317520142,0.7164871096611023,0.806470513343811
